raza,estado,municipio,localidad,altitud,precipitacion,temperatura,color_grano,hileras_mazorca,longitud_promedio,cat_altitud,cat_temperatura,cat_precipitacion
maíz raza olotillo,oaxaca,santa catarina loxicha,jardín del sur,669.0,970,24,no disponible,9.96,16.472,bajas,semi-caliente,abundantes
maíz raza olotillo,tabasco,huimanguillo,"ejido monte de oro, primera sección, subregión de la chontalpa",26.0,2140,26,['blanco cremoso'],12.2,15.84,bajas,caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,tuxpan,san josé el grande,68.0,1295,24,['blanco cremoso'],12,18.69,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san baltazar loxicha,villa tierra,880.0,930,23,['blanco'],10.5555555555556,20.7944444444444,bajas,semi-caliente,abundantes
maíz raza olotillo,chiapas,teopisca,san antonio y san josé,1711.0,1279,16,['amarillo claro'],12,21.6,mediana altitud,fría,abundantes
maíz raza olotillo,chiapas,suchiapa,cerca de pacú,453.0,991,26,"['amarillo claro', 'amarillo medio', 'amarillo naranja']",8,18.59,bajas,caliente,abundantes
maíz raza olotillo,hidalgo,huejutla de reyes,ejido calmecate,117.0,1352,24,['amarillo'],9.2,14.8,bajas,semi-caliente,abundantes
maíz raza olotillo,hidalgo,huejutla de reyes,ejido calmecate,117.0,1352,24,"['amarillo', 'amarillo naranja']",10,16.6,bajas,semi-caliente,abundantes
maíz raza olotillo,hidalgo,atotonilco el grande,cerro colorado,1986.0,611,15,['blanco cremoso'],9,13.24,altas,fría,poco abundantes
maíz raza olotillo,oaxaca,candelaria loxicha,el chilar,236.0,1087,25,"['blanco', 'rojo']",10,16.9421052631579,bajas,caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,benito juarez,beníto juárez,265.0,1326,23,['blanco cremoso'],9.4,14.6,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san bartolome loxicha,la chinilla,700.0,1022,24,['blanco'],9.65,16.445,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,candelaria loxicha,el chilar,340.0,1097,25,['blanco cremoso'],10.5,17.015,bajas,caliente,abundantes
