race,state,municipality,locality,altitude,precipitation,temperature,grain_color ,rows_ear,average_length,altitude_cat,temperature_cat,precipitation_cat
maíz raza olotillo,Veracruz de Ignacio de la Llave,Benito Juarez,Beníto Juárez,267,1326,23,"['yellow', 'mottled']",10.4,16.6,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,Candelaria Loxicha,Río Molino,613,1020,24,['light yellow'],9.75,17.81,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,San Bartolome Loxicha,El Tapanco,733,1026,23,['creamy white'],10.15,17.875,low,semi-warm,abundant
maíz raza olotillo,Quintana Roo,Jose Maria Morelos,Ejido Tabasco,41,1187,25,['white'],,,low,hot,abundant
maíz raza olotillo,Oaxaca,Santa Catarina Loxicha,Cerro Toro,521,992,25,['white'],9.45,19.375,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,San Agustin Loxicha,Piedra Cuache,369,1051,25,"['white', 'light yellow']",10.2,15.855,low,semi-warm,abundant
maíz raza olotillo,Chiapas,Venustiano Carranza,Belem,585,1124,25,['white'],10,15,low,semi-warm,abundant
maíz raza olotillo,Chiapas,Venustiano Carranza,"Belem, 3 Km Venustiano Carranza",585,1124,25,['white'],,,low,semi-warm,abundant
maíz raza olotillo,Puebla,Tecomatlan,San Miguel de Lozano,1009,658,24,"['creamy white', 'black']",10,17.6333333333333,low,semi-warm,intermediate
maíz raza olotillo,Puebla,Tuzamapan de Galeana,"En el Centro del Ejido Ricardo Flores Magón, Aledaño a la Localidad Ricardo Flores Magón",219,1908,24,['white'],,,low,semi-warm,very abundant
maíz raza olotillo,Puebla,Tuzamapan de Galeana,"En el Centro del Ejido Ricardo Flores Magón, Aledaño a la Localidad Ricardo Flores Magón",219,1908,24,['white'],,,low,semi-warm,very abundant
maíz raza olotillo,Puebla,Tuzamapan de Galeana,"En el Centro del Ejido Ricardo Flores Magón, Aledaño a la Localidad Ricardo Flores Magón",219,1908,24,['white'],10,,low,semi-warm,very abundant
maíz raza olotillo,Puebla,Tuzamapan de Galeana,"En el Centro del Ejido Flores Magón, Aledaño a la Localidad Ricardo Flores Magón, a 25 Km de Cuetzalan y Cerca de Reyeshogpan",219,1908,24,['white'],9,,low,semi-warm,very abundant
maíz raza olotillo,Puebla,Tuzamapan de Galeana,"En el Centro del Ejido Ricardo Flores Magón, Aledaño a la Localidad Ricardo Flores Magón",219,1908,24,['white'],,,low,semi-warm,very abundant
maíz raza olotillo,Puebla,Tuzamapan de Galeana,"En el Centro del Ejido Ricardo Flores Magón, Aledaño a la Localidad Ricardo Flores Magón",219,1908,24,['white'],,,low,semi-warm,very abundant
maíz raza olotillo,Puebla,Tuzamapan de Galeana,"En el Centro del Ejido Ricardo Flores Magón, Aledaño a la Localidad Ricardo Flores Magón",219,1908,24,['white'],,,low,semi-warm,very abundant
maíz raza olotillo,Puebla,Tuzamapan de Galeana,"En el Centro del Ejido Ricardo Flores Magón, Aledaño a la Localidad Ricardo Flores Magón",219,1908,24,['white'],,,low,semi-warm,very abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Catemaco,San Juan Seco de Valencia,403,1721,23,['creamy white'],9.4,17.3,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Axtla de Terrazas,"Ensenada, Chalco",102,1576,24,['yellow'],8.8,17.6,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Axtla de Terrazas,"Ensenada, Chalco",102,1576,24,['yellow'],9.6,17.2,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Axtla de Terrazas,"Ensenada, Chalco",102,1576,24,"['white', 'yellow', 'white', 'yellow']",10.4,17,low,semi-warm,very abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Ixcatepec,Papatlalillo,194,1171,24,['white'],11.2,15.6,low,semi-warm,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Ixcatepec,Papatlalillo,194,1171,24,['yellow'],10.8,17.2,low,semi-warm,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Hueyapan de Ocampo,"Santa Rosa Cintepec, Carretera Catemaco-Acayucan",479,1705,23,['creamy white'],11,20.26,low,semi-warm,very abundant
maíz raza olotillo,Oaxaca,San Lucas Ojitlan,San José Laguna,95,2243,25,['white'],11,20,low,semi-warm,very abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Papantla,"Benito Juárez, Comunidad Benito Juárez",196,1631,23,['creamy white'],11.6,19.02,low,semi-warm,very abundant
